url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/caloroczny-domek-mobilny-48m2-altana-z-tarasem-ID45Kc8.html#825de0851f,Całoroczny domek mobilny 48m2 Altana z tarasem,"Warszawa, Ursynów",3 pokoje,129 000 zł,48 m²,
https://www.otodom.pl/oferta/dom-blizniak-augustow-ID46JkS.html#825de0851f,Dom bliźniak Augustów,"Augustów, augustowski, podlaskie",4 pokoje,480 000 zł,110 m²,działka 455 m²
https://www.otodom.pl/oferta/nowoczesny-wykonczony-dom-98-m2-dzialka-373m2-ID46Ex9.html#825de0851f,"Nowoczesny, wykończony dom 98 m2, działka 373m2","Nadolice Wielkie, wrocławski, dolnośląskie",4 pokoje,610 000 zł,"98,91 m²",działka 373 m²
https://www.otodom.pl/oferta/sprzedam-pol-najpiekniejszej-kamienicy-w-z-gorze-ID454WY.html#825de0851f,Sprzedam pół najpiękniejszej kamienicy w Z. Górze,"Zielona Góra, Centrum",4 pokoje,495 000 zł,94 m²,działka 540 m²
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-radzymin-ID46JkX.html#825de0851f,"Dom na sprzedaż, Wołomiński, Radzymin","Radzymin, wołomiński, mazowieckie",4 pokoje,570 000 zł,"129,10 m²",działka 250 m²
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-kobylka-ID46JkP.html#825de0851f,"Dom na sprzedaż, Wołomiński, Kobyłka","Kobyłka, wołomiński, mazowieckie",4 pokoje,840 000 zł,310 m²,działka 780 m²
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-zielonka-ID46Jkb.html#825de0851f,"Dom na sprzedaż, Wołomiński, Zielonka","Zielonka, wołomiński, mazowieckie",>10 pokoi,2 650 000 zł,"492,50 m²",działka 620 m²
https://www.otodom.pl/oferta/nowoczesny-blizniak-z-duza-dzialka-gdynia-kosakowo-ID43WTI.html#825de0851f,Nowoczesny bliźniak z dużą działką/Gdynia kosakowo,"Kosakowo, pucki, pomorskie",4 pokoje,630 000 zł,140 m²,działka 500 m²
https://www.otodom.pl/oferta/dom-z-2009-r-milicz-6-pokoi-ID425TN.html#825de0851f,"Dom z 2009 r., Milicz, 6 pokoi","Ruda Milicka, milicki, dolnośląskie",6 pokoi,850 000 zł,211 m²,działka 1 601 m²
https://www.otodom.pl/oferta/dom-z-ogrodem-i-garazem-bielany-warszawa-ID46uOk.html#825de0851f,"Dom z ogrodem i garażem, Bielany, Warszawa","Warszawa, Bielany",3 pokoje,1 000 000 zł,106 m²,działka 252 m²
https://www.otodom.pl/oferta/pol-blizniaka-w-nowych-liniach-ID46Jk5.html#c3f9e276b5,Pół bliźniaka w Nowych Liniach,"Nowe Linie, pyrzycki, zachodniopomorskie",3 pokoje,230 000 zł,"53,50 m²",działka 2 072 m²
https://www.otodom.pl/oferta/tutaj-moznesz-odetchnac-na-lonie-przyrody-niemcz-ID45v4r.html#c3f9e276b5,Tutaj możnesz odetchnąć na łonie przyrody. Niemcz.,"Jagodowo, bydgoski, kujawsko-pomorskie",4 pokoje,640 000 zł,136 m²,działka 970 m²
https://www.otodom.pl/oferta/zamieszkaj-pieknie-olimpin-dom-tylko-do-aranzacji-ID45OoC.html#c3f9e276b5,Zamieszkaj pięknie OLIMPIN dom tylko do aranzacji,"Olimpin, bydgoski, kujawsko-pomorskie",4 pokoje,549 000 zł,135 m²,działka 1 085 m²
https://www.otodom.pl/oferta/dom-302m2-pod-agroturystyke-broczyno-ID4693H.html#c3f9e276b5,Dom 302m2 pod agroturystykę Broczyno,"Broczyno, drawski, zachodniopomorskie",3 pokoje,320 000 zł,302 m²,działka 2 400 m²
https://www.otodom.pl/oferta/dom-z-tarasem-i-garazami-w-sochaczewie-ID43csP.html#c3f9e276b5,Dom z tarasem i garażami w Sochaczewie,"Sochaczew, sochaczewski, mazowieckie",6 pokoi,400 000 zł,160 m²,działka 609 m²
https://www.otodom.pl/oferta/nowoczesny-dom-259m2-w-brzozie-lesny-zakatek-ID43bwD.html#c3f9e276b5,"Nowoczesny dom 259m2, w Brzozie. Leśny zakątek.","Brzoza, bydgoski, kujawsko-pomorskie",5 pokoi,1 150 000 zł,259 m²,działka 2 000 m²
https://www.otodom.pl/oferta/zamieszkaj-w-domu-z-ogrodem-w-markach-ID46JjC.html#c3f9e276b5,Zamieszkaj w domu z ogrodem w Markach,"Marki, wołomiński, mazowieckie",6 pokoi,730 000 zł,"128,96 m²",
https://www.otodom.pl/oferta/wasosz-dom-na-dzialce-budowlanej-967m2-ID46ymZ.html#c3f9e276b5,Wąsosz dom na działce budowlanej 967m2,"Wąsosz, nakielski, kujawsko-pomorskie",3 pokoje,300 000 zł,67 m²,działka 967 m²
https://www.otodom.pl/oferta/sprzedam-dom-ID46JhM.html#c3f9e276b5,Sprzedam dom,"Mysłowice, Brzęczkowice",4 pokoje,480 000 zł,199 m²,działka 645 m²
https://www.otodom.pl/oferta/dom-wolnostojacy-w-spokojnej-okolicy-ID44V90.html#c3f9e276b5,Dom wolnostojący w spokojnej okolicy,"Stargard, stargardzki, zachodniopomorskie",5 pokoi,670 000 zł,"195,03 m²",działka 544 m²
https://www.otodom.pl/oferta/3-domy-wolnostojace-lokalizacja-premium-ID37KkV.html#c3f9e276b5,3 domy wolnostojące lokalizacja premium,"Lesznowola, piaseczyński, mazowieckie",5 pokoi,999 000 zł,190 m²,działka 700 m²
https://www.otodom.pl/oferta/osiedle-blizniakow-blisko-goclawia-ID46Jjs.html#c3f9e276b5,Osiedle Bliźniaków Blisko Gocławia,"Warszawa, Wawer",5 pokoi,999 999 zł,189 m²,działka 198 m²
https://www.otodom.pl/oferta/blizniak-bliski-wawer-700m-od-mostu-siekierkowsko-ID46Jjp.html#c3f9e276b5,Bliźniak-Bliski Wawer-700m Od Mostu Siekierkowsko,"Warszawa, Wawer",5 pokoi,1 399 000 zł,224 m²,działka 198 m²
https://www.otodom.pl/oferta/dom-102m2-w-zabudowie-szeregowej-4-pokoje-smolec-ID46Jjn.html#c3f9e276b5,"Dom 102m2 w zabudowie szeregowej, 4 pokoje, Smolec","Smolec, wrocławski, dolnośląskie",4 pokoje,729 000 zł,"102,49 m²",
